text,label,label_name,predicted,predicted_name,confidence
i feel that passionate about,1,joy,2,love,0.9206191580260511
i realized what i am passionate about helping women feel accepted and appreciated,1,joy,2,love,0.8793043632722695
i feel accepted and loved by a community of derby girls that i helped to create,1,joy,2,love,0.8125546642697385
i feel respected and secure where i can journey toward loving and be loved in return,1,joy,2,love,0.7769119291694049
i started walking again yesterday and it feels amazing,1,joy,5,surprise,0.7767338068174313
i feel so amazing musicjuzz,1,joy,5,surprise,0.7572757206611159
i feel so blessed to be married to him because he loves his stepchildren,1,joy,2,love,0.7523061945024747
i was truly surprised and feel quite honored,1,joy,5,surprise,0.7421386576519851
im feeling generous this week,1,joy,2,love,0.7420951498195787
i do feel stressed,0,sadness,3,anger,0.7028411900320112
i think and it feels a little weird,4,fear,5,surprise,0.6999742779016705
i have a family i can feel passionate about and completely comfortable with,1,joy,2,love,0.6975853121638542
i could feel his breath on me and smell the sweet scent of him,1,joy,2,love,0.6945980738909042
i feel the need to pimp this since raini my beloved rocky casting director loves it so much,1,joy,2,love,0.6928957305010578
i feel like some of you have pains and you cannot imagine becoming passionate about the group or the idea that is causing pain,1,joy,2,love,0.6909966131116423
i was like should i feel sweet or feel offended,2,love,3,anger,0.6677547844173171
i didn t mean to get angry with you bommie i just can t control my feelings hellip i just hated myself why i am like this the dara who can t get over with that b,0,sadness,3,anger,0.6677137761379773
i feel very strongly about supporting charities that help children,1,joy,2,love,0.6627950090662319
i loved the feeling i got during an amazing slalom run whether it was in training or in a race,1,joy,5,surprise,0.6510872447309162
i feel hated in cempaka,0,sadness,3,anger,0.6510167161710313
